source_file,target_file,source_category,target_category,similarity,plagiarism
g0pA_taska.txt,g0pA_taskb.txt,non,cut,0.6272496,False
g0pA_taska.txt,g0pA_taskc.txt,non,light,0.7114676,True
g0pA_taska.txt,g0pA_taskd.txt,non,heavy,0.71686006,True
g0pA_taska.txt,g0pA_taske.txt,non,non,0.7083987,True
g0pA_taska.txt,g0pB_taska.txt,non,non,0.8228408,True
g0pA_taska.txt,g0pB_taskb.txt,non,non,0.61521167,False
g0pA_taska.txt,g0pB_taskc.txt,non,cut,0.7060776,True
g0pA_taska.txt,g0pB_taskd.txt,non,light,0.67781115,False
g0pA_taska.txt,g0pB_taske.txt,non,heavy,0.72941947,True
g0pA_taska.txt,g0pC_taska.txt,non,heavy,0.88375497,True
g0pA_taska.txt,g0pC_taskb.txt,non,non,0.58910275,False
g0pA_taska.txt,g0pC_taskc.txt,non,non,0.6629194,False
g0pA_taska.txt,g0pC_taskd.txt,non,cut,0.6594155,False
g0pA_taska.txt,g0pC_taske.txt,non,light,0.73236144,True
g0pA_taska.txt,g0pD_taska.txt,non,cut,0.87277406,True
g0pA_taska.txt,g0pD_taskb.txt,non,light,0.61703205,False
g0pA_taska.txt,g0pD_taskc.txt,non,heavy,0.7265757,True
g0pA_taska.txt,g0pD_taskd.txt,non,non,0.5672828,False
g0pA_taska.txt,g0pD_taske.txt,non,non,0.687173,False
g0pA_taska.txt,g0pE_taska.txt,non,light,0.8663555,True
g0pA_taska.txt,g0pE_taskb.txt,non,heavy,0.63588464,False
g0pA_taska.txt,g0pE_taskc.txt,non,non,0.5904882,False
g0pA_taska.txt,g0pE_taskd.txt,non,non,0.61883986,False
g0pA_taska.txt,g0pE_taske.txt,non,cut,0.74908966,True
g0pA_taska.txt,g1pA_taska.txt,non,non,0.8248209,True
g0pA_taska.txt,g1pA_taskb.txt,non,heavy,0.6677946,False
g0pA_taska.txt,g1pA_taskc.txt,non,light,0.70378435,True
g0pA_taska.txt,g1pA_taskd.txt,non,cut,0.72019327,True
g0pA_taska.txt,g1pA_taske.txt,non,non,0.7368144,True
g0pA_taska.txt,g1pB_taska.txt,non,non,0.82125723,True
g0pA_taska.txt,g1pB_taskb.txt,non,non,0.60914874,False
g0pA_taska.txt,g1pB_taskc.txt,non,heavy,0.6895852,False
g0pA_taska.txt,g1pB_taskd.txt,non,light,0.68588233,False
g0pA_taska.txt,g1pB_taske.txt,non,cut,0.7751603,True
g0pA_taska.txt,g1pD_taska.txt,non,light,0.8649876,True
g0pA_taska.txt,g1pD_taskb.txt,non,cut,0.69006264,False
g0pA_taska.txt,g1pD_taskc.txt,non,non,0.6294935,False
g0pA_taska.txt,g1pD_taskd.txt,non,non,0.58713734,False
g0pA_taska.txt,g1pD_taske.txt,non,heavy,0.7041062,True
g0pA_taska.txt,g2pA_taska.txt,non,non,0.84147793,True
g0pA_taska.txt,g2pA_taskb.txt,non,heavy,0.6089171,False
g0pA_taska.txt,g2pA_taskc.txt,non,light,0.7125734,True
g0pA_taska.txt,g2pA_taskd.txt,non,cut,0.69378805,False
g0pA_taska.txt,g2pA_taske.txt,non,non,0.6861887,False
g0pA_taska.txt,g2pB_taska.txt,non,non,0.894767,True
g0pA_taska.txt,g2pB_taskb.txt,non,non,0.64712375,False
g0pA_taska.txt,g2pB_taskc.txt,non,heavy,0.7438383,True
g0pA_taska.txt,g2pB_taskd.txt,non,light,0.65567076,False
g0pA_taska.txt,g2pB_taske.txt,non,cut,0.7314503,True
g0pA_taska.txt,g2pC_taska.txt,non,cut,0.863794,True
g0pA_taska.txt,g2pC_taskb.txt,non,non,0.635412,False
g0pA_taska.txt,g2pC_taskc.txt,non,non,0.619182,False
g0pA_taska.txt,g2pC_taskd.txt,non,heavy,0.6235763,False
g0pA_taska.txt,g2pC_taske.txt,non,light,0.7268151,True
g0pA_taska.txt,g2pE_taska.txt,non,heavy,0.87281513,True
g0pA_taska.txt,g2pE_taskb.txt,non,light,0.66194546,False
g0pA_taska.txt,g2pE_taskc.txt,non,cut,0.59538585,False
g0pA_taska.txt,g2pE_taskd.txt,non,non,0.73280907,True
g0pA_taska.txt,g2pE_taske.txt,non,non,0.7116693,True
g0pA_taska.txt,g3pA_taska.txt,non,non,0.87265986,True
g0pA_taska.txt,g3pA_taskb.txt,non,heavy,0.63856107,False
g0pA_taska.txt,g3pA_taskc.txt,non,light,0.7074893,True
g0pA_taska.txt,g3pA_taskd.txt,non,cut,0.6501698,False
g0pA_taska.txt,g3pA_taske.txt,non,non,0.76608676,True
g0pA_taska.txt,g3pB_taska.txt,non,non,0.874697,True
